time,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64
2001,22.2,14.9,9.8,7.2,6.8,7.0,6.8,5.5,7.5,5.3
2002,25.4,14.5,7.9,6.0,6.1,5.7,6.0,5.8,5.5,4.4
2003,15.7,11.6,8.1,6.3,6.3,5.7,4.9,5.0,5.4,4.6
2004,16.2,11.7,8.0,5.2,5.8,4.8,5.5,4.7,5.7,5.4
2005,12.8,12.3,7.0,6.4,4.8,4.0,5.6,5.2,6.0,5.3
2006,10.0,10.0,8.6,5.7,4.6,5.1,4.1,5.6,5.7,5.3
2007,10.8,7.6,7.6,5.7,4.5,4.5,4.0,4.6,6.2,5.6
2008,6.2,7.0,7.4,4.9,4.6,3.5,4.0,4.3,6.0,7.7
2009,4.8,5.7,9.1,5.3,4.7,4.7,4.3,4.6,5.8,5.7
2010,4.2,4.9,7.0,4.7,4.7,4.4,4.3,3.9,5.4,5.0
2011,4.3,4.2,6.9,5.1,3.9,3.6,3.3,4.2,4.5,5.1
2012,3.4,2.8,6.0,4.9,4.4,3.2,3.3,3.1,5.1,4.5
2013,2.0,3.9,6.8,6.1,4.0,3.8,3.1,3.8,4.0,3.6
2014,3.8,3.2,5.0,5.6,4.1,3.4,3.7,4.0,5.2,4.5
2015,4.3,3.6,4.5,5.9,3.9,3.3,4.2,4.0,6.6,2.6
2016,3.1,3.5,4.1,5.9,4.4,3.8,4.0,4.8,5.0,3.7
2017,2.2,3.8,4.2,5.0,4.2,4.0,4.8,4.3,6.0,3.8
2018,4.7,3.2,4.4,5.4,4.3,3.5,3.8,4.2,5.7,3.9
2019,3.8,3.1,4.5,5.4,3.9,3.8,4.5,4.2,5.1,3.8
2020,3.3,3.4,4.1,5.4,4.6,3.8,3.8,5.3,5.8,4.1
