Акмолинская,Актюбинская,Алматинская,Атырауская,Западно-Казахстанская,Жамбылская,Карагандинская,Костанайская,Кызылординская,Мангыстауская,Южно-Казахстанская,Павлодарская,Северо-Казахстанская,Туркестанская,Восточно-Казахстанская,г.Нур-Султан,г.Алматы,г.Шымкент
10.8,11.4,10.2,13.5,12.5,12.7,9.2,10.3,13.9,10.5,11.5,9.2,8.9,0.0,7.3,9.3,10.8,0.0
9.2,10.2,9.2,10.7,10.0,12.3,8.3,9.3,12.5,9.8,9.4,8.7,8.0,0.0,7.3,8.7,9.6,0.0
9.2,9.7,8.6,9.5,9.3,11.1,7.5,8.7,11.4,9.7,8.6,8.2,8.0,0.0,7.3,8.4,8.9,0.0
9.2,9.4,7.8,9.3,9.2,10.2,7.4,8.5,10.2,9.8,7.8,7.7,8.1,0.0,7.2,8.3,8.8,0.0
8.9,9.2,7.3,9.1,9.0,9.8,7.0,8.2,9.7,9.7,7.5,7.6,7.9,0.0,7.1,8.2,8.4,0.0
8.6,8.5,7.1,8.4,8.6,9.2,6.9,7.8,9.3,9.3,7.2,7.4,7.2,0.0,6.9,8.0,8.2,0.0
8.0,7.4,6.7,7.4,7.8,7.7,6.7,7.5,8.2,8.5,6.9,6.9,6.9,0.0,6.6,7.6,7.8,0.0
7.1,6.4,6.4,6.3,7.1,6.5,6.2,6.9,6.9,6.9,6.6,6.4,6.3,0.0,6.4,6.6,7.4,0.0
6.96,0.0,6.5,6.1,6.3,6.5,6.1,6.3,6.6,7.1,6.6,6.4,6.3,0.0,6.4,6.6,7.7,0.0
5.8,5.3,5.6,5.4,5.6,5.7,5.5,5.7,5.9,6.4,5.9,5.6,5.8,0.0,5.7,6.2,6.3,0.0
5.5,4.9,5.1,5.0,5.3,5.5,5.3,5.4,5.5,5.8,5.7,5.2,5.4,0.0,5.2,5.8,5.6,0.0
5.3,5.0,5.0,5.0,5.1,5.4,5.1,5.2,5.3,5.7,5.6,4.9,5.2,0.0,5.1,5.7,5.6,0.0
5.2,4.9,4.9,5.0,5.1,5.2,5.0,5.2,5.2,5.5,5.5,5.0,5.1,0.0,5.1,5.5,5.6,0.0
5.0,4.9,4.9,5.0,5.0,4.9,4.9,5.0,5.0,5.0,5.4,4.8,5.0,0.0,4.8,5.1,5.5,0.0
5.1,5.1,5.0,5.0,5.1,5.1,5.3,5.1,5.1,5.1,5.3,4.9,5.1,0.0,5.0,4.7,5.3,0.0
4.9,4.8,4.8,4.9,4.9,4.9,5.0,4.9,4.9,5.0,5.2,4.8,5.0,0.0,4.9,4.6,5.3,0.0
4.8,4.8,4.7,4.9,4.9,4.9,4.8,4.8,4.8,4.9,5.2,4.8,4.9,0.0,4.8,4.6,5.3,0.0
4.8,4.8,4.7,4.9,4.9,4.9,4.6,4.8,4.8,4.8,5.0,4.8,4.9,0.0,4.8,4.5,5.2,5.2
4.7,4.8,4.6,4.8,4.8,4.8,4.4,4.7,4.8,4.8,4.0,4.7,4.8,0.0,4.8,4.4,5.1,5.2
4.9,4.8,4.8,4.9,5.0,4.9,4.6,4.9,4.9,4.9,4.2,4.8,5.0,0.0,4.9,4.6,5.2,5.1
